Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
The Cloverfield Paradox,Julius Onah,2018,8,3,Yes,5.5
The Conjuring 2,James Wan,2016,22,5,No,7.3
The Conspiracy,Christopher MacBride,2012,1,0.5,No,6.3
The Crucifixion,Xavier Gens,2017,19,4.5,No,5.1
The Cured,David Freyne,2017,16,3,No,5.5
The Curse of La Llorona,Michael Chaves,2019,20,4,No,5.4
The Dead Don’t Die,Jim Jarmusch,2019,0,0,No,5.5
The Devil Inside,William Brent Bell,2012,8,2.5,No,4.2
The Devil's Candy,Sean Byrne,2015,8,2,Yes,6.4
The Disappointments Room,D.J. Caruso,2016,9,2.5,Yes,3.9
The Endless,"Justin Benson, Aaron Moorhead",2017,7,2.5,No,6.5
The Eyes of My Mother,Nicolas Pesce,2016,0,0,Yes,6.2
The Final Girls,Todd Strauss-Schulson,2015,8,1.5,No,6.6
The First Purge,Gerard McMurray,2018,8,2.5,No,5.1
The Forest,Jason Zada,2016,13,3.5,No,4.8
The Gallows,"Travis Cluff, Chris Lofing",2015,21,4,No,4.2
The Gift,Joel Edgerton,2015,5,1.5,No,7
The Girl with All the Gifts,Colm McCarthy,2016,3,1,No,6.6
The Good Neighbor,Kasra Farahani,2016,7,2,Yes,6.3
